20KHZ_200KHZ,200KHZ_2MHZ,2MHZ_20MHZ,20MHZ_200MHZ,200MHZ_2000MHZ,2000MHZ_2GHZ,OBJECT
0.11506,0.24981,0.5969,0.54099,0.17553,0.01108,R
0.1812,0.7781,0.36074,0.2525,0.07852,0.00916,R
0.24274,0.69525,0.58549,0.48369,0.162,0.01603,R
0.05908,0.20185,0.38732,0.63428,0.30694,0.00957,R
0.15241,0.46516,0.53996,0.33635,0.09049,0.00792,R
0.10742,0.72656,0.40263,0.35433,0.11061,0.005,R
0.15114,0.33237,0.59969,0.47152,0.15838,0.01357,R
0.10251,0.42242,0.64033,0.24333,0.13011,0.00749,R
0.05817,0.34561,0.63844,0.28833,0.13613,0.00825,R
0.04578,0.18975,0.80795,0.19636,0.07752,0.00925,R
0.02627,0.10574,0.64931,0.54447,0.08005,0.00579,R
0.04092,0.27744,0.69145,0.32461,0.07412,0.01173,R
0.05095,0.39838,0.59291,0.20395,0.07745,0.0089,R
0.08909,0.32255,0.59409,0.47686,0.15806,0.01269,R
0.06608,0.31262,0.53542,0.39921,0.14018,0.01153,R
0.12913,0.4027,0.54229,0.60019,0.13802,0.01171,R
0.10652,0.26517,0.57489,0.58271,0.28012,0.01491,R
0.07158,0.46206,0.45975,0.483,0.21505,0.01343,R
0.06432,0.31998,0.74057,0.56207,0.1247,0.00674,R
0.25732,0.67712,0.55703,0.19045,0.0903,0.00959,R
0.20865,0.38805,0.56794,0.67525,0.14982,0.00764,R
0.09774,0.43081,0.3635,0.79929,0.26983,0.00945,R
0.09613,0.2082,0.30924,0.74431,0.45254,0.01603,R
0.04874,0.23414,0.61665,0.52236,0.15197,0.00565,R
0.05696,0.14876,0.36934,0.65062,0.17424,0.00864,R
0.03064,0.136,0.75396,0.59843,0.20975,0.00486,R
0.09909,0.47847,0.62573,0.17467,0.12054,0.00543,R
0.04873,0.43374,0.72837,0.24313,0.11566,0.00842,R
0.07082,0.4729,0.56024,0.34349,0.11991,0.00767,R
0.09387,0.37372,0.58909,0.15119,0.09446,0.01015,R
0.04762,0.39456,0.75853,0.29084,0.15657,0.0083,R
0.05781,0.37664,0.59309,0.24311,0.06974,0.00925,R
0.04151,0.41355,0.57542,0.4365,0.131,0.01319,R
0.07901,0.36523,0.63371,0.49674,0.156,0.01242,R
0.07393,0.47617,0.52975,0.37556,0.09395,0.01122,R
0.10048,0.25232,0.6078,0.23586,0.05114,0.0149,R
0.06026,0.16028,0.73543,0.57385,0.13699,0.01308,R
0.06659,0.11823,0.81272,0.44947,0.10687,0.00634,R
0.02916,0.14545,0.63404,0.34113,0.09868,0.00779,R
0.05889,0.16314,0.64668,0.49458,0.1619,0.01069,R
0.08081,0.22169,0.69893,0.4517,0.08838,0.01095,R
0.02708,0.2357,0.63805,0.52249,0.09027,0.00674,R
0.05742,0.28339,0.74288,0.7637,0.1683,0.00768,R
0.06583,0.45618,0.75913,0.79373,0.12219,0.01202,R
0.0913,0.21473,0.53534,0.65624,0.47133,0.01539,R
0.09336,0.43279,0.67029,0.57156,0.21809,0.01134,R
0.11719,0.57552,0.61774,0.52937,0.17509,0.0087,R
0.0569,0.20967,0.62541,0.55327,0.32989,0.00517,R
0.05789,0.27863,0.70306,0.42119,0.20414,0.00854,R
0.09424,0.28457,0.75116,0.45641,0.20433,0.0078,R
0.05774,0.15604,0.46779,0.76712,0.19398,0.01135,R
0.04708,0.23187,0.56334,0.4592,0.11611,0.00494,R
0.04816,0.27892,0.75696,0.21879,0.08637,0.0053,R
0.05458,0.24402,0.75914,0.30056,0.1265,0.00707,R
0.04206,0.26287,0.73085,0.30909,0.13518,0.00669,R
0.05701,0.27296,0.79789,0.32949,0.12761,0.00421,R
0.05343,0.27106,0.7919,0.29016,0.10901,0.00348,R
0.06342,0.17569,0.75189,0.56611,0.10208,0.00565,R
0.06387,0.19242,0.85323,0.48348,0.05194,0.00528,R
0.05771,0.17591,0.81528,0.42769,0.05792,0.00464,R
0.07049,0.21145,0.86203,0.44924,0.0463,0.0038,R
0.07428,0.23639,0.85657,0.43792,0.04675,0.00493,R
0.06245,0.19785,0.86591,0.57933,0.05643,0.00402,R
0.04459,0.20789,0.69973,0.50079,0.10875,0.00329,R
0.04316,0.12256,0.27748,0.75824,0.18506,0.0087,R
0.03376,0.12313,0.32446,0.71972,0.2,0.01253,R
0.04413,0.14467,0.41014,0.74068,0.21224,0.00981,R
0.06028,0.14781,0.34422,0.74503,0.2189,0.00968,R
0.0546,0.17675,0.57505,0.51488,0.17624,0.00553,R
0.05923,0.15492,0.55608,0.1808,0.09499,0.00509,R
0.04129,0.11771,0.55532,0.1777,0.13377,0.00335,R
0.06716,0.1516,0.56503,0.19527,0.1116,0.00435,R
0.05159,0.14807,0.58182,0.16194,0.11381,0.00608,R
0.04323,0.15567,0.65792,0.26467,0.13772,0.00476,R
0.05888,0.49643,0.83798,0.18795,0.03072,0.00697,R
0.07655,0.52752,0.81592,0.27489,0.06346,0.00801,R
0.07972,0.54459,0.83906,0.24596,0.06396,0.00704,R
0.07684,0.48254,0.78756,0.21042,0.07394,0.00802,R
0.06614,0.51955,0.74925,0.15703,0.07432,0.0067,R
0.04725,0.43213,0.77008,0.21621,0.0538,0.00602,R
0.087,0.63996,0.71365,0.23906,0.06715,0.00852,R
0.1217,0.67178,0.70563,0.30486,0.14961,0.00708,R
0.0942,0.65217,0.73722,0.26134,0.15399,0.00719,R
0.08761,0.69503,0.64769,0.27432,0.13917,0.00621,R
